GoldStandard	Predicted
just in case	• in case
a sorry sight	a sorry sight
rule of thumb	rule of thumb
carpe diem	per diem
salad days	sunny days
off the record	keeping the record
thank goodness	blessed goodness
big bucks	milwaukee bucks
dog days	sunny days
wet behind the ears	hair behind the ears
just deserts	arabian deserts
an arm and a leg	an arm and a leg
never mind	never mind
bricks and mortar	brick and mortar
close call	curtain call
a sight for sore eyes	good sight for sore eyes
open warfare	trench warfare
pin money	prize money
third time lucky	all time lucky
race against time	odds against time
rain or shine	shine or shine
hold on a second	click on a second
next to nothing	nothing to nothing
cheek by jowl	voiced by jowl
black and blue	red and blue
dead wood	henry wood
stranger things have happened	good things have happened
pigs might fly	pigs might fly
poetry in motion	man in motion
dressed up to the nines	step up to the nines
way around	all around
no strings attached	nylon strings attached
a shot in the arm	fatally shot in the arm
below the salt	eat the salt
heart of gold	coat of gold
in the pipeline	down the pipeline
golden age	viking age
in limbo	• limbo
baptism of fire	ring of fire
beyond words	spoken words
on the table	below the table
in bad shape	• bad shape
on the horns of a dilemma	• the horns of a dilemma
under pressure	atmospheric pressure
dead right	\ right
give me five	give me five
in the heat of the moment	consider the heat of the moment
fit as a fiddle	playing as a fiddle
charity begins at home	filming begins at home
syrup of figs	list of figs
against time	extra time
neither fish nor fowl	neither fish nor fowl
well hung	hung hung
in a nutshell	like a nutshell
red handed	right handed
at hand	left hand
by the numbers	denote the numbers
nest egg	easter egg
shelf life	everyday life
flotsam and jetsam	sunrise and jetsam
out on the town	depending on the town
on the fence	behind the fence
fancy free	tuition free
head over heels	shoes over heels
at the drop of a hat	• the drop of a hat
poetic justice	chief justice
in the eyes of the law	through the eyes of the law
dead to the world	welcome to the world
odds and ends	begins and ends
an ugly duckling	little ugly duckling
money for old rope	search for old rope
daily grind	grind grind
well read	please read
no spring chicken	hot spring chicken
let sleeping dogs lie	the sleeping dogs lie
easier said than done	better said than done
son of a gun	barrel of a gun
hold your horses	bless your horses
god forbid	god forbid
across the board	• the board
against the clock	stop the clock
in the same boat	• the same boat
skid row	fourth row
the best of both worlds	• best of both worlds
nitty gritty	dirty gritty
the men in grey suits	three men in grey suits
caught in the crossfire	lost in the crossfire
between life and death	• life and death
time is money	money is money
young blood	holy blood
labour of love	songs of love
the acid test	amino acid test
dead and buried	died and buried
as poor as a church mouse	• poor as a church mouse
the holy grail	holy holy grail
to this day	till this day
whiter than white	darker than white
all together now	come together now
inside job	odd job
magic touch	• touch
weak at the knees	look at the knees
a flash in the pan	adobe flash in the pan
behind bars	uneven bars
flea market	flea market
rags to riches	rags to riches
at sixes and sevens	eton sixes and sevens
fall for it	pray for it
in the family way	• the family way
man in the street	stranger in the street
in the cold light of day	beneath the cold light of day
icing on the cake	sugar on the cake
in the zone	• the zone
not all there	and all there
a fish out of water	chasing fish out of water
carrot and stick	stick and stick
in the nick of time	• the nick of time
in the blink of an eye	or the blink of an eye
for a song	sing a song
middle of the road	bottom of the road
magic wand	magic wand
actions speak louder than words	words speak louder than words
round the clock	stop the clock
castles in the air	smoke in the air
dream come true	dreams come true
ignorance is bliss	happiness is bliss
ring fencing	wheelchair fencing
root and branch	branch and branch
cutting edge	cutting edge
in cold blood	cold cold blood
watch this space	consider this space
up in the air	smoke in the air
out of the blue	pirates of the blue
cloud nine	chapter nine
trouble and strife	peace and strife
itchy feet	six feet
in the best of health	• the best of health
dirty work	charity work
back to the drawing board	according to the drawing board
cock and bull story	bull and bull story
now or never	now or never
money talks	peace talks
rat race	road race
rough time	extra time
tour de force	tour de force
armed to the teeth	clinging to the teeth
a load of cobblers	heavy load of cobblers
big deal	plea deal
level playing field	outdoor playing field
by and large	small and large
behind closed doors	• closed doors
absence makes the heart grow fonder	love makes the heart grow fonder
a steal	• steal
a slap on the wrist	a slap on the wrist
wild and woolly	wool and woolly
hell bent	peter bent
in the bag	grab the bag
the upper crust	jurassic upper crust
get a life	what a life
mea culpa	fernando culpa
bottle and glass	wood and glass
an act of war	1865 act of war
under the table	below the table
let bygones be bygones	let bygones be bygones
familiarity breeds contempt	dog breeds contempt
on the same wavelength	at the same wavelength
dead meat	raw meat
north and south	north and south
how come	here come
last but not least	best but not least
cream of the crop	list of the crop
dead serious	less serious
under the weather	enjoy the weather
slice of life	catalogue of life
nine to five	four to five
over the hill	up the hill
beyond price	purchase price
for love nor money	neither love nor money
under canvas	untitled canvas
better late than never	better late than never
a breath of fresh air	fresh breath of fresh air
food for thought	pause for thought
over the top	at the top
building blocks	building blocks
hale and hearty	sweet and hearty
calendar year	academic year
a whole new ball game	• whole new ball game
quality time	extra time
through thick and thin	skin thick and thin
beats me	forgive me
under the sun	beneath the sun
off the beaten track	• the beaten track
keep up the good work	give up the good work
al fresco	• fresco
be a sport	such a sport
word for word	word for word
down to earth	return to earth
in a trice	plus a trice
sink or swim	swim or swim
technically speaking	public speaking
to a fine art	• a fine art
strapped for cash	cash for cash
all that jazz	all that jazz
piece of cake	slice of cake
vale of tears	river of tears
bright as a button	click as a button
weather permitting	weather permitting
