Sentence	Sentence Vector
This is a bankruptcy proceeding	tensor([-0.0257, -0.1283,  0.2258, -0.0034, -0.0033])
This is a black operation	tensor([-0.3658, -0.4008,  0.5182, -0.7109,  0.1023])
This is a field work	tensor([ 0.0489, -0.1049,  0.1159, -0.4350, -0.0993])
This is a marketing consultant	tensor([ 0.0590,  0.1328,  0.0646, -0.2103, -0.6525])
This is a box office	tensor([-0.1030, -0.0917,  0.0157, -0.2373,  0.3160])
This is a noise complaint	tensor([-0.0275,  0.2314,  0.0916, -0.1016, -0.4495])
This is a pipe dream	tensor([ 0.2447,  0.1829,  0.4380, -0.1240,  0.0494])
This is a honey trap	tensor([ 0.2276,  0.2267, -0.2046,  0.1063,  0.2499])
This is an acid test	tensor([-0.2551, -0.3193, -0.1088, -0.2772,  0.2696])
This is a case study	tensor([-0.1288, -0.3017, -0.0579, -0.3716, -0.1649])
This is a chain reaction	tensor([-0.0744,  0.0180,  0.1178, -0.4092, -0.1992])
This is an ancient history	tensor([ 0.2221,  0.1982, -0.0970, -0.3202, -0.1037])
This is a china clay	tensor([-0.3834, -0.0062, -0.1904, -0.4155,  0.2091])
This is a divine service	tensor([ 0.5991,  0.2356,  0.3820, -0.5481, -0.2612])
This is an economic aid	tensor([-0.1812, -0.1517,  0.3687,  0.1861, -0.0790])
This is a lip service	tensor([ 0.2921, -0.6045,  0.3000, -0.0235,  0.1169])
This is a mail service	tensor([ 0.0274, -0.1275,  0.3803,  0.4499, -0.1355])
This is a computer expert	tensor([-0.1261,  0.1349,  0.0924, -0.1542,  0.0363])
This is a cable car	tensor([ 0.0643, -0.4104,  0.1272,  0.4179,  0.4653])
This is a panda car	tensor([ 0.0245, -0.2817,  0.2489,  0.3094,  0.1518])
This is a credit card	tensor([ 0.1869, -0.1704,  0.1796,  0.3821,  0.5210])
This is a basket case	tensor([-0.1312, -0.3083,  0.3650, -0.5122, -0.1188])
This is a life belt	tensor([ 0.3555, -0.2589,  0.2975, -0.1170,  0.2504])
This is a rock bottom	tensor([ 0.0917, -0.2777, -0.3168,  0.0801,  0.3489])
This is a swimming pool	tensor([-0.1464, -0.2531, -0.1819, -0.0013,  0.5755])
This is a public service	tensor([ 0.0156, -0.2523,  0.3557, -0.3739, -0.2891])
This is a sitting duck	tensor([-0.1697,  0.0308,  0.0428, -0.0905,  0.0389])
This is a balance sheet	tensor([-0.0039, -0.3746,  0.1947,  0.1887,  0.1619])
This is a cheat sheet	tensor([-0.3197, -0.5640,  0.0694,  0.0518,  0.3054])
This is a black cherry	tensor([ 0.2309,  0.1074, -0.3187,  0.0995,  0.1807])
This is a guinea pig	tensor([ 0.1079,  0.0654, -0.5318, -0.0691,  0.1335])
This is a human being	tensor([ 0.1994,  0.3209,  0.0886, -0.1951, -0.2951])
This is a milk tooth	tensor([-0.0592,  0.2048,  0.0481, -0.1260,  0.1086])
This is a cutting edge	tensor([-0.0165, -0.3563,  0.2438, -0.0671, -0.3032])
This is a fine line	tensor([ 0.1827, -0.6801,  0.4159, -0.2086, -0.2607])
This is a firing line	tensor([ 0.0625, -0.1484,  0.1666,  0.0603, -0.2438])
This is a speed limit	tensor([-0.2653, -0.4175,  0.7655,  0.0521,  0.0690])
This is a sacred cow	tensor([ 0.3278,  0.0967, -0.4709, -0.2885, -0.0361])
This is a fall guy	tensor([-0.4319, -0.3801,  0.1477, -0.1546, -0.2150])
This is a street girl	tensor([ 0.0227, -0.5482,  0.0377, -0.1647, -0.1803])
This is a Dutch courage	tensor([-0.0377, -0.0515, -0.2138, -0.4766,  0.0391])
This is an eternal rest	tensor([ 0.2661, -0.0180,  0.4532, -0.3290, -0.3158])
This is a half sister	tensor([-0.1717, -0.4864,  0.1468, -0.1829, -0.1968])
This is a labour union	tensor([ 0.2539, -0.2962,  0.1467, -0.1901, -0.4876])
This is a cash cow	tensor([ 0.1247, -0.2820, -0.1136, -0.0775,  0.0967])
This is a busy bee	tensor([ 0.1140,  0.0258,  0.1537,  0.0108, -0.2511])
This is a spelling bee	tensor([-0.1386, -0.1080, -0.1188, -0.2051,  0.0193])
This is a law firm	tensor([ 0.1549, -0.2793,  0.1939, -0.2151, -0.3080])
This is a call centre	tensor([-0.2287, -0.4652,  0.2197,  0.0035,  0.3930])
This is a white noise	tensor([-0.0059, -0.0420,  0.2584, -0.2017, -0.2352])
This is a benign tumour	tensor([-0.1821,  0.1499,  0.1764, -0.7248,  0.1041])
This is a job fair	tensor([ 0.2997, -0.2023, -0.0127, -0.2682,  0.0285])
This is a baby buggy	tensor([-0.0779, -0.1656,  0.3375,  0.0555,  0.0350])
This is a pillow slip	tensor([-0.1207, -0.3260,  0.1393,  0.0081,  0.1440])
This is a dirty money	tensor([ 0.3015, -0.0895,  0.0082, -0.0988, -0.1641])
This is a day shift	tensor([-0.0760, -0.3494,  0.0532, -0.4719,  0.0354])
This is a graveyard shift	tensor([ 0.0435, -0.4626,  0.0404, -0.2234, -0.2799])
This is a head hunter	tensor([-0.0818,  0.0827,  0.0076, -0.1871, -0.2607])
This is a traffic control	tensor([-0.1076, -0.1431,  0.3031,  0.2088, -0.1132])
This is a backroom boy	tensor([ 0.0402, -0.2244, -0.1498, -0.0260,  0.3339])
This is an old timer	tensor([-0.0306, -0.2917,  0.1723, -0.2274, -0.1045])
This is a brass ring	tensor([ 0.1500, -0.0056,  0.2199,  0.1466,  0.0416])
This is a ghost town	tensor([ 0.1369, -0.2226,  0.1127,  0.0747,  0.1152])
This is a close call	tensor([-0.1461, -0.3361,  0.5206, -0.2268, -0.3335])
This is a wet blanket	tensor([ 0.1843, -0.2495,  0.1912,  0.1472, -0.1185])
This is a smoking jacket	tensor([ 0.4171, -0.1001,  0.0221, -0.2095,  0.0435])
This is a wedding anniversary	tensor([-0.1234, -0.2033,  0.5946, -0.2347, -0.0846])
This is a banana republic	tensor([-0.1320, -0.1701, -0.1442,  0.0829,  0.0370])
This is a hen party	tensor([-0.1195, -0.4611,  0.0959, -0.3344, -0.2653])
This is a news agency	tensor([ 0.1944, -0.2637,  0.1052,  0.2191, -0.3736])
This is a rat race	tensor([ 0.1734, -0.2610, -0.0765, -0.1512,  0.1430])
This is a radioactive material	tensor([ 0.3038,  0.3867, -0.3003, -0.1723, -0.2639])
This is a love song	tensor([ 0.2246, -0.1320,  0.6759,  0.1142,  0.1817])
This is a dead end	tensor([ 0.3023, -0.0889,  0.3255, -0.0564,  0.0805])
This is a world conference	tensor([-0.2092, -0.6482,  0.3852, -0.3780, -0.2259])
This is an insurance policy	tensor([ 0.5867, -0.3701,  0.4799, -0.1762, -0.0301])
This is a cooking stove	tensor([ 0.2322,  0.0864, -0.0397,  0.1283,  0.3442])
